"ean","order_id_falta","cantidad_solicitada_falta","point_of_sale_id","nombre_pos","tipo_producto","fecha_pedido_falta","reintento_reposicion","order_id_recompra","fecha_pedido_recompra","dias_hasta_recompra","horas_hasta_recompra","bucket_timing_recompra","cantidad_recompra","compra_efectiva","veces_falta_antes"
"0000000000114",397325,10,501,Sucursal 39,MEDICINAL,"2026-01-02 13:43:04",1,397940,"2026-01-03 16:01:51",1,26,"24-48 h",10.000,0,1
"0000000000122",397325,10,501,Sucursal 39,MEDICINAL,"2026-01-02 13:43:04",1,397940,"2026-01-03 16:01:51",1,26,"24-48 h",20.000,0,1
"0000000001626",397642,2,883,Farmacia Sur - Mendeleiv,MEDICINAL,"2026-01-02 22:53:27",0,,,,,,,,1
"0000000007115",397423,1,2287,Santa Isabel,MEDICINAL,"2026-01-02 15:28:37",1,397628,"2026-01-02 22:40:57",0,7,"6-12 h",1.000,0,1
"0000000007115",397628,1,2287,Santa Isabel,MEDICINAL,"2026-01-02 22:40:57",1,397926,"2026-01-03 15:38:11",1,16,"12-24 h",1.000,0,2
"0000000066641",397261,2,1182,Farmacia Drdi,MEDICINAL,"2026-01-02 03:13:01",1,399481,"2026-01-07 01:02:25",5,117,"48 h+",2.000,1,1
"0000027324004",397423,1,2287,Santa Isabel,MEDICINAL,"2026-01-02 15:28:37",1,397628,"2026-01-02 22:40:57",0,7,"6-12 h",1.000,0,1
"0000027324004",397628,1,2287,Santa Isabel,MEDICINAL,"2026-01-02 22:40:57",1,397926,"2026-01-03 15:38:11",1,16,"12-24 h",1.000,0,2
"0000077951823",397594,1,624,Farmacia del Valle,MEDICINAL,"2026-01-02 21:50:36",1,398079,"2026-01-04 15:52:36",2,42,"24-48 h",1.000,1,1
"0071603138193",397594,1,624,Farmacia del Valle,MEDICINAL,"2026-01-02 21:50:36",1,398079,"2026-01-04 15:52:36",2,42,"24-48 h",1.000,1,1
"0075486143510",397503,24,3010,Deposito Anexo,MEDICINAL,"2026-01-02 18:21:46",1,399182,"2026-01-06 17:37:15",4,95,"48 h+",12.000,0,1
"01091990654",397222,1,1238,Farmacia San Angel Hidalgo,MEDICINAL,"2026-01-02 01:49:55",0,,,,,,,,1
"013117023008",397243,2,1590,Farma Plus  Fresno,MEDICINAL,"2026-01-02 02:49:36",1,398900,"2026-01-06 03:03:29",4,96,"48 h+",1.000,0,1
"013117031737",397232,1,1590,Farma Plus  Fresno,MEDICINAL,"2026-01-02 02:23:29",1,401360,"2026-01-10 02:44:35",8,192,"48 h+",1.000,0,1
"013117032161",397258,1,1588,Farma Plus Fontanas,MEDICINAL,"2026-01-02 03:09:45",0,,,,,,,,1
"021136010541",397234,1,1588,Farma Plus Fontanas,MEDICINAL,"2026-01-02 02:32:25",1,397743,"2026-01-03 01:48:50",1,23,"12-24 h",2.000,0,1
"021136010541",397241,1,1589,Farma Plus Avandaro,MEDICINAL,"2026-01-02 02:44:11",1,397263,"2026-01-02 03:16:19",0,0,< 6 h,1.000,0,1
"021136010541",397263,1,1589,Farma Plus Avandaro,MEDICINAL,"2026-01-02 03:16:19",1,397771,"2026-01-03 03:06:32",1,23,"12-24 h",3.000,0,2
"022110079806",397243,1,1590,Farma Plus  Fresno,MEDICINAL,"2026-01-02 02:49:36",0,,,,,,,,1
"031262031570",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"032239052000",397234,1,1588,Farma Plus Fontanas,MEDICINAL,"2026-01-02 02:32:25",0,,,,,,,,1
"032239052000",397241,1,1589,Farma Plus Avandaro,MEDICINAL,"2026-01-02 02:44:11",0,,,,,,,,1
"032239052017",397241,3,1589,Farma Plus Avandaro,MEDICINAL,"2026-01-02 02:44:11",1,398053,"2026-01-04 03:02:10",2,48,"48 h+",1.000,0,1
"032239052024",397234,1,1588,Farma Plus Fontanas,MEDICINAL,"2026-01-02 02:32:25",0,,,,,,,,1
"036731106032",397283,1,2139,Farmacia 02 Puente,MEDICINAL,"2026-01-02 05:23:09",1,397755,"2026-01-03 02:30:44",1,21,"12-24 h",1.000,0,1
"038000263804",397232,1,1590,Farma Plus  Fresno,MEDICINAL,"2026-01-02 02:23:29",0,,,,,,,,1
"0382904918019",397325,1,501,Sucursal 39,MEDICINAL,"2026-01-02 13:43:04",1,397940,"2026-01-03 16:01:51",1,26,"24-48 h",7.000,0,1
"041554089103",397222,1,1238,Farmacia San Angel Hidalgo,MEDICINAL,"2026-01-02 01:49:55",1,400147,"2026-01-08 02:15:41",6,144,"48 h+",1.000,0,1
"041554089127",397222,1,1238,Farmacia San Angel Hidalgo,MEDICINAL,"2026-01-02 01:49:55",0,,,,,,,,1
"043194167753",397234,1,1588,Farma Plus Fontanas,MEDICINAL,"2026-01-02 02:32:25",0,,,,,,,,1
"04869312",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"06372873381",397232,3,1590,Farma Plus  Fresno,MEDICINAL,"2026-01-02 02:23:29",1,397243,"2026-01-02 02:49:36",0,0,< 6 h,1.000,0,1
"06372873381",397243,1,1590,Farma Plus  Fresno,MEDICINAL,"2026-01-02 02:49:36",1,398094,"2026-01-04 18:05:47",2,63,"48 h+",4.000,0,2
"0650240030949",397261,1,1182,Farmacia Drdi,MEDICINAL,"2026-01-02 03:13:01",0,,,,,,,,1
"070330731806",397283,2,2139,Farmacia 02 Puente,MEDICINAL,"2026-01-02 05:23:09",0,,,,,,,,1
"0707387813499",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"070847897637",397232,1,1590,Farma Plus  Fresno,MEDICINAL,"2026-01-02 02:23:29",0,,,,,,,,1
"071249363126",397222,1,1238,Farmacia San Angel Hidalgo,MEDICINAL,"2026-01-02 01:49:55",0,,,,,,,,1
"073854050101",397263,1,1589,Farma Plus Avandaro,MEDICINAL,"2026-01-02 03:16:19",0,,,,,,,,1
"074108726100",397232,1,1590,Farma Plus  Fresno,MEDICINAL,"2026-01-02 02:23:29",0,,,,,,,,1
"074108772008",397234,1,1588,Farma Plus Fontanas,MEDICINAL,"2026-01-02 02:32:25",0,,,,,,,,1
"0742832466134",397587,1,464,San Martin 3,MEDICINAL,"2026-01-02 21:40:07",1,397963,"2026-01-03 17:02:45",1,19,"12-24 h",1.000,0,1
"0799192457111",397245,2,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",2.000,0,1
"0799192457128",397245,3,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",3.000,0,1
"0799192457135",397245,3,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",3.000,0,1
"0815154022705",397241,1,1589,Farma Plus Avandaro,MEDICINAL,"2026-01-02 02:44:11",1,397771,"2026-01-03 03:06:32",1,24,"24-48 h",1.000,0,1
"099072000674",397617,2,1741,Sucursal Centro,MEDICINAL,"2026-01-02 22:27:13",1,398724,"2026-01-05 22:11:16",3,71,"48 h+",2.000,0,1
"1111111111111",397278,2,2138,Farmacia 01 Banco,MEDICINAL,"2026-01-02 04:43:08",1,397744,"2026-01-03 01:50:10",1,21,"12-24 h",2.000,0,1
"12800516056",397167,2,385,Valemar,MEDICINAL,"2026-01-01 20:11:42",0,,,,,,,,1
"1306881052251",397282,4,2076,F. Nueva San Juan Tultepec 2,MEDICINAL,"2026-01-02 05:21:09",1,397844,"2026-01-03 05:16:54",1,23,"12-24 h",4.000,1,1
"1306881056105",397150,2,2280,MINA,MEDICINAL,"2026-01-01 05:07:18",0,,,,,,,,1
"13117016222",397205,3,2087,Suc. De la Fuente,MEDICINAL,"2026-01-02 00:41:29",1,397819,"2026-01-03 04:08:38",1,27,"24-48 h",3.000,0,1
"13117022858",397258,1,1588,Farma Plus Fontanas,MEDICINAL,"2026-01-02 03:09:45",1,401748,"2026-01-11 17:58:53",9,230,"48 h+",1.000,0,1
"13117023404",397258,1,1588,Farma Plus Fontanas,MEDICINAL,"2026-01-02 03:09:45",0,,,,,,,,1
"1779802634526",397661,1,710,Osvaldini,MEDICINAL,"2026-01-02 23:22:48",1,401180,"2026-01-09 21:49:20",7,166,"48 h+",1.000,0,1
"2000001299845",397321,1,1766,Farmacia Cristal,MEDICINAL,"2026-01-02 13:35:44",1,401496,"2026-01-10 14:53:38",8,193,"48 h+",30.000,1,1
"2401327376706",397226,1,1114,Farmacia Jana,MEDICINAL,"2026-01-02 01:57:23",1,400784,"2026-01-09 03:34:44",7,169,"48 h+",1.000,0,1
"300090010072",397245,1,1679,Matriz,MEDICINAL,"2026-01-02 02:55:50",1,397767,"2026-01-03 03:02:33",1,24,"24-48 h",1.000,0,1
"300090444037",397231,1,2360,Casa Aleman,MEDICINAL,"2026-01-02 02:20:33",0,,,,,,,,1
