"punto_de_venta","estado_personalizado","total_pedidos"
"5 de febrero",compra concretada,2
"5 de febrero",cancelada,1
"5 de Mayo",cancelada,26
"5 de Mayo",abandonada,7
A Romano,compra concretada,14
A Romano,abandonada,1
Abasolo,compra concretada,2
Administradores,compra concretada,14
Administradores,cancelada,13
Administradores,abandonada,6
Aguas Frías,cancelada,27
Aguas Frías,abandonada,2
Aguas Frías,compra concretada,2
Alberdi,compra concretada,9
Alberdi,abandonada,1
Allemma,compra concretada,12
Almaba Farma,compra concretada,3
Almaba Farma,cancelada,2
Almaba Farma,abandonada,2
Almacén,cancelada,2
ALTAMIRANO,compra concretada,4
Altos de Moreno,compra concretada,9
Altos de Moreno,abandonada,1
Alvear,compra concretada,10
Arboledas,compra concretada,18
Arboledas,cancelada,10
Arieta,compra concretada,18
Arieta,cancelada,1
Arieta Perfu,compra concretada,2
Arieta Perfu,cancelada,2
Arieta Perfu,abandonada,1
Auxiliares,cancelada,5
Auxiliares,abandonada,4
Azteca,compra concretada,12
Azteca,cancelada,2
Barrial,compra concretada,1
Barrial,cancelada,1
Belgrano La Franco,compra concretada,10
Belgrano La Franco,abandonada,2
Benavidez,compra concretada,10
Benavidez,cancelada,2
Benavidez,abandonada,1
Bodrum,compra concretada,9
Bodrum - Perfu,compra concretada,1
Boulevard,cancelada,31
Boulevard,compra concretada,18
Boulevard,abandonada,2
Boulogne,compra concretada,13
Bustamante,compra concretada,6
Bustamante,cancelada,1
Caballito,compra concretada,13
Carrera,cancelada,5
Carrera,compra concretada,2
Carrera,abandonada,1
Caruso - Perfumeria,compra concretada,4
Casa Aleman,cancelada,4
Casa Aleman,compra concretada,3
Casa Aleman,abandonada,2
Castañeda,abandonada,1
Castelli,compra concretada,6
Castelli,abandonada,2
Castelli,cancelada,1
CASTORENA,abandonada,1
CASTORENA,cancelada,1
Catedral IV - Santiago del estero,compra concretada,1
Catriel Saenz Peña,compra concretada,7
Catriel Saenz Peña,cancelada,3
Catriel Saenz Peña,abandonada,1
Catriel Zurita,compra concretada,38
Catriel Zurita,cancelada,14
Catriel Zurita,abandonada,2
CDIS,cancelada,1
CEC San Nicolás,compra concretada,9
CEC San Nicolás,cancelada,2
CEDIFAR,compra concretada,13
CEDIFAR,cancelada,12
CEDIFAR,abandonada,3
Cedis,compra concretada,7
Cedis,cancelada,7
Cedis,abandonada,4
CEDIS Monterrey Vitau,compra concretada,24
CEDIS Monterrey Vitau,cancelada,6
Centro Historico,compra concretada,5
Centro Historico,cancelada,2
Centro Historico,abandonada,1
Centro Sur,compra concretada,13
Churubusco,compra concretada,3
Churubusco,abandonada,2
CLINISUMINISTROS SAS,cancelada,6
CLINISUMINISTROS SAS,abandonada,5
Club Campestre,compra concretada,7
Club Campestre,abandonada,1
Club Campestre,cancelada,1
Coacalco,cancelada,7
Coacalco,abandonada,3
Coacalco,compra concretada,3
Colon de Carhue,compra concretada,9
Colon de Carhue,cancelada,6
Colon de Carhue,abandonada,1
Compra automatica,compra concretada,1
Costamagna,abandonada,2
Costamagna-TurnoMañana,compra concretada,7
Costamagna-TurnoMañana,cancelada,1
Costamagna-TurnoTarde,compra concretada,7
Crovetto,compra concretada,16
Crovetto,cancelada,9
Crovetto,abandonada,6
De miguel,compra concretada,24
De miguel,abandonada,2
De miguel,cancelada,2
De prueba,compra concretada,1
De prueba,cancelada,1
De prueba,abandonada,1
De prueba - No medicinales,cancelada,1
Del Eje Suc Arcangel San Rafael,cancelada,4
Del Eje Suc Arcangel San Rafael,compra concretada,3
Del Eje Suc Arcangel San Rafael,abandonada,1
Del Potosi,compra concretada,11
Del Potosi,cancelada,1
Del Provincia,compra concretada,9
Del Pueblo,compra concretada,23
Del Pueblo,cancelada,8
Del Pueblo,abandonada,1
Del Pueblo Express,compra concretada,22
Del Pueblo Express,cancelada,3
Del pueblo Perfumeria,compra concretada,12
Deposito Anexo,compra concretada,4
Deposito Anexo,cancelada,1
Depósito Central,cancelada,5
Depósito Central,abandonada,2
Depósito Central,compra concretada,1
Deposito Proveedores,compra concretada,1
Digsa Medica,cancelada,14
Digsa Medica,compra concretada,9
Digsa Medica,abandonada,7
Dimec,cancelada,1
Diprogendi,abandonada,2
Diprogendi,cancelada,1
Distribuidora Ciudad Cuautemoc,cancelada,8
Distribuidora Ciudad Cuautemoc,compra concretada,7
Distribuidora Ciudad Cuautemoc,abandonada,3
Distribuidora Ciudad Neza,cancelada,26
Distribuidora Ciudad Neza,abandonada,9
Distribuidora Ciudad Neza,compra concretada,5
Distribuidora Ojo de agua,cancelada,16
Distribuidora Ojo de agua,abandonada,10
Distribuidora Ojo de agua,compra concretada,6
Don Doctor,compra concretada,11
Don Doctor,cancelada,5
Dr. Elustondo,compra concretada,19
Dr. Elustondo,abandonada,2
Drogueria San Francisco,cancelada,20
Drogueria San Francisco,compra concretada,6
Drogueria San Francisco,abandonada,5
Dromi Rosales,cancelada,6
Dromi Rosales,compra concretada,1
E. Farmac del Oeste - Perfu,compra concretada,1
El Porvenir,cancelada,7
El Porvenir,compra concretada,2
Escobar,compra concretada,13
Estanislao,compra concretada,10
Estanislao - Perfu,compra concretada,2
F. El Número Uno Lomas de Durazno,compra concretada,9
F. El Número Uno Lomas de Durazno,abandonada,1
F. El número uno ventura Puente,compra concretada,9
F. El número uno ventura Puente,cancelada,2
F. Guadalupe Jalisco,cancelada,3
F. Guadalupe Jalisco,abandonada,2
F. Iguales CEDIS,compra concretada,10
F. Iguales CEDIS,cancelada,7
F. Iguales CEDIS,abandonada,5
"F. Isabel Actopan, Hgo.",compra concretada,20
"F. Isabel Actopan, Hgo.",cancelada,4
"F. Isabel Actopan, Hgo.",abandonada,3
F. La Esperanza Matriz,compra concretada,14
F. La Esperanza Matriz,cancelada,6
F. La Esperanza Matriz,abandonada,4
F. Matriz,compra concretada,3
F. Matriz,cancelada,3
F. San José Hospital,compra concretada,8
F. San José Hospital,abandonada,2
F. San José Hospital,cancelada,2
F. San José Matriz,compra concretada,10
F. San José Matriz,cancelada,8
F. San José Matriz,abandonada,3
Fabris,compra concretada,17
Farma Huinco,compra concretada,12
Farma Huinco,cancelada,2
FARMA MAS,compra concretada,16
FARMA MAS,cancelada,6
Farma Plus  Fresno,compra concretada,11
Farma Plus Avandaro,compra concretada,10
Farma Plus Avandaro,cancelada,1
Farma Plus Fontanas,compra concretada,11
Farma y Más San Luis Acatlán,abandonada,2
Farma y Más San Luis Acatlán,compra concretada,2
Farma y Más San Luis Acatlán,cancelada,1
Farmacia 01 Banco,cancelada,33
Farmacia 01 Banco,compra concretada,12
Farmacia 01 Banco,abandonada,5
Farmacia 02 Puente,cancelada,15
Farmacia 02 Puente,compra concretada,13
Farmacia 02 Puente,abandonada,5
Farmacia AgosPrueba,cancelada,1
Farmacia alquimia MX,cancelada,6
Farmacia alquimia MX,abandonada,2
Farmacia Ancihuacuaro,cancelada,4
Farmacia Ancihuacuaro,compra concretada,2
Farmacia Andina,compra concretada,1
Farmacia Andina,abandonada,1
Farmacia Andina,cancelada,1
Farmacia Añon,compra concretada,17
Farmacia Bellafarma,compra concretada,16
Farmacia Bellafarma,abandonada,7
Farmacia Bellafarma,cancelada,3
Farmacia Campos  de Alvarez,compra concretada,9
Farmacia Canaria,compra concretada,10
Farmacia Canaria,abandonada,5
Farmacia Canaria,cancelada,3
Farmacia Castelo La Estación,compra concretada,2
Farmacia Castelo Suc Ajuchitlán,compra concretada,1
Farmacia Catedral 1 - Parana,compra concretada,17
Farmacia Catedral 1 - Parana,cancelada,1
Farmacia Catedral 2 - Parana,compra concretada,47
Farmacia Catedral 2 - Parana,cancelada,8
Farmacia Catedral 2 - Parana,abandonada,4
Farmacia Catedral 3 - Parana,compra concretada,8
Farmacia Catedral 3 - Parana,abandonada,1
Farmacia Catedral 3 - Parana,cancelada,1
Farmacia Centro,compra concretada,7
Farmacia Centro,abandonada,6
Farmacia Centro,cancelada,4
Farmacia Condor 1,compra concretada,8
Farmacia Condor 2,compra concretada,1
Farmacia Condor 3,compra concretada,1
Farmacia Condor 4,compra concretada,8
Farmacia Condor 4,cancelada,1
Farmacia Costanera,compra concretada,6
FARMACIA COYOACÁN,abandonada,15
FARMACIA COYOACÁN,cancelada,7
FARMACIA COYOACÁN,compra concretada,2
Farmacia Cristal,compra concretada,18
Farmacia Cristal,cancelada,9
Farmacia Cristal,abandonada,1
Farmacia Cristo Rey Progreso,compra concretada,29
